"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 13:25:33 GMT 2022","Sat Jun 04 13:25:33 GMT 2022","194","","Тестирование сервиса mailbox","","Тестирование сервиса mailbox","Доступ с некорректным API key","Доступ с некорректным API key",""
"passed","Sat Jun 04 13:25:33 GMT 2022","Sat Jun 04 13:25:33 GMT 2022","163","","Тестирование сервиса mailbox","","Тестирование сервиса mailbox","Доступ без API key","Доступ без API key",""
